GenericDrugName	SideeffectTerm	Source
alfentanil	aggression	OFFSIDES
alfentanil	blood bilirubin increased	OFFSIDES
alfentanil	ventricular fibrillation	OFFSIDES
alfentanil	hyperkeratosis	OFFSIDES
alfentanil	dry skin	OFFSIDES
alfentanil	disseminated intravascular coagulation	OFFSIDES
alfentanil	hypoxia	OFFSIDES
alfentanil	colitis	OFFSIDES
alfentanil	haematemesis	OFFSIDES
alfentanil	electrocardiogram st segment depression	OFFSIDES
alfentanil	brain oedema	OFFSIDES
alfentanil	hypotonia	OFFSIDES
alfentanil	subarachnoid haemorrhage	OFFSIDES
alfentanil	cyanosis	OFFSIDES
alfentanil	renal impairment	OFFSIDES
alfentanil	alanine aminotransferase increased	OFFSIDES
alfentanil	coma	OFFSIDES
alfentanil	blood triglycerides increased	OFFSIDES
alfentanil	cerebral ischaemia	OFFSIDES
alfentanil	arrhythmia	OFFSIDES
alfentanil	speech disorder	OFFSIDES
alfentanil	hyperventilation	OFFSIDES
alfentanil	hepatic failure	OFFSIDES
alfentanil	tetany	OFFSIDES
alfentanil	deafness	OFFSIDES
alfentanil	hyperreflexia	OFFSIDES
alfentanil	rash generalised	OFFSIDES
alfentanil	infection	OFFSIDES
alfentanil	acute coronary syndrome	OFFSIDES
alfentanil	blood potassium decreased	OFFSIDES
alfentanil	hypokalaemia	OFFSIDES
alfentanil	hemiplegia	OFFSIDES
alfentanil	post procedural haemorrhage	OFFSIDES
alfentanil	angioedema	OFFSIDES
alfentanil	electrocardiogram qt prolonged	OFFSIDES
alfentanil	blood albumin decreased	OFFSIDES
alfentanil	acute respiratory distress syndrome	OFFSIDES
telithromycin	blood bilirubin increased	OFFSIDES
telithromycin	blood lactate dehydrogenase increased	OFFSIDES
telithromycin	miosis	OFFSIDES
telithromycin	asthenia	OFFSIDES
telithromycin	hypokinesia	OFFSIDES
telithromycin	haemorrhoids	OFFSIDES
telithromycin	chromaturia	OFFSIDES
telithromycin	ventricular fibrillation	OFFSIDES
telithromycin	ascites	OFFSIDES
telithromycin	depressed level of consciousness	OFFSIDES
telithromycin	basal cell carcinoma	OFFSIDES
telithromycin	loss of consciousness	SIDER
telithromycin	feeling abnormal	SIDER
telithromycin	hallucination	SIDER
telithromycin	bronchitis	OFFSIDES
telithromycin	varicose vein	OFFSIDES
telithromycin	haematemesis	OFFSIDES
telithromycin	chest pain	OFFSIDES
telithromycin	asthenopia	OFFSIDES
telithromycin	blood creatine phosphokinase increased	OFFSIDES
telithromycin	furuncle	OFFSIDES
telithromycin	blood creatinine increased	OFFSIDES
telithromycin	hypophosphataemia	OFFSIDES
telithromycin	urine analysis abnormal	OFFSIDES
telithromycin	parosmia	SIDER
telithromycin	liver injury	SIDER
telithromycin	stevens-johnson syndrome	OFFSIDES
telithromycin	international normalised ratio increased	OFFSIDES
telithromycin	pollakiuria	OFFSIDES
telithromycin	brain oedema	OFFSIDES
telithromycin	diplopia	OFFSIDES
telithromycin	hepatocellular injury	OFFSIDES
telithromycin	cardiomyopathy	OFFSIDES
telithromycin	peripheral ischaemia	OFFSIDES
telithromycin	herpes simplex	OFFSIDES
telithromycin	seborrhoeic keratosis	OFFSIDES
telithromycin	acidosis	OFFSIDES
telithromycin	pancreatitis	SIDER
telithromycin	immune system disorder	OFFSIDES
telithromycin	palpitations	SIDER
telithromycin	hypersensitivity	SIDER
telithromycin	non-hodgkin's lymphoma	OFFSIDES
telithromycin	confusional state	SIDER
telithromycin	cough	OFFSIDES
telithromycin	gastroenteritis	OFFSIDES
telithromycin	skin discolouration	OFFSIDES
telithromycin	myalgia	SIDER
telithromycin	abdominal distension	OFFSIDES
telithromycin	pain	OFFSIDES
telithromycin	musculoskeletal chest pain	OFFSIDES
telithromycin	alanine aminotransferase increased	OFFSIDES
telithromycin	pleural effusion	OFFSIDES
telithromycin	feeling drunk	OFFSIDES
telithromycin	lethargy	OFFSIDES
telithromycin	transaminases increased	OFFSIDES
telithromycin	hepatotoxicity	SIDER
telithromycin	hepatic function abnormal	SIDER
telithromycin	impaired healing	OFFSIDES
telithromycin	dehydration	OFFSIDES
telithromycin	rhonchi	OFFSIDES
telithromycin	cold sweat	OFFSIDES
telithromycin	hepatitis	OFFSIDES
telithromycin	rales	OFFSIDES
telithromycin	metabolic acidosis	OFFSIDES
telithromycin	haemorrhage intracranial	OFFSIDES
telithromycin	blood alkaline phosphatase increased	OFFSIDES
telithromycin	apathy	OFFSIDES
telithromycin	hernia	OFFSIDES
telithromycin	hyperhidrosis	OFFSIDES
telithromycin	blood triglycerides increased	OFFSIDES
