SideEffectTerm	SecondLevelMedDRATerm
glucose tolerance impaired	Glucose metabolism disorders (incl diabetes mellitus)
functional gastrointestinal disorder	Gastrointestinal conditions NEC
aggression	Personality disorders and disturbances in behaviour
strangury	Urinary tract signs and symptoms
transient ischaemic attack	Central nervous system vascular disorders
transient ischaemic attack	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
cardiomegaly	Myocardial disorders
mania	Manic and bipolar mood disorders and disturbances
proctitis	Gastrointestinal inflammatory conditions
disorientation	Deliria (incl confusion)
disorientation	Neurological disorders NEC
blood bilirubin increased	Hepatobiliary investigations
blood lactate dehydrogenase increased	Enzyme investigations NEC
panophthalmitis	Ocular infections, irritations and inflammations
wound secretion	Injuries NEC
wound secretion	General system disorders NEC
eye disorder	Eye disorders NEC
periodontitis	Dental and gingival conditions
periodontitis	Infections - pathogen unspecified
candida infection	Fungal infectious disorders
atrioventricular block complete	Cardiac arrhythmias
gravitational oedema	General system disorders NEC
gravitational oedema	Heart failures
bipolar disorder	Manic and bipolar mood disorders and disturbances
jaundice	Hepatic and hepatobiliary disorders
jaundice	Epidermal and dermal conditions
jaundice	Haemolyses and related conditions
miosis	Ocular neuromuscular disorders
miosis	Neurological disorders NEC
colitis ulcerative	Immune disorders NEC
colitis ulcerative	Gastrointestinal inflammatory conditions
asthenia	General system disorders NEC
neurotoxicity	Exposures, chemical injuries and poisoning
neurotoxicity	Neurological disorders NEC
decreased appetite	General system disorders NEC
decreased appetite	Appetite and general nutritional disorders
hypokinesia	Movement disorders (incl parkinsonism)
sinus headache	Respiratory tract signs and symptoms
sinus headache	Headaches
polycythaemia	Red blood cell disorders
haemorrhoids	Gastrointestinal vascular conditions
haemorrhoids	Venous varices
eye discharge	Ocular infections, irritations and inflammations
fungal skin infection	Skin and subcutaneous tissue infections and infestations
fungal skin infection	Fungal infectious disorders
gait disturbance	General system disorders NEC
gait disturbance	Neurological disorders NEC
corneal lesion	Anterior eye structural change, deposit and degeneration
tongue ulceration	Tongue conditions
ventricular tachycardia	Cardiac arrhythmias
vulvovaginal mycotic infection	Female reproductive tract infections and inflammations
vulvovaginal mycotic infection	Fungal infectious disorders
rectal haemorrhage	Gastrointestinal haemorrhages NEC
rectal haemorrhage	Vascular haemorrhagic disorders
protein total decreased	Protein and chemistry analyses NEC
chromaturia	Urinary tract signs and symptoms
pulmonary oedema	Heart failures
pulmonary oedema	Lower respiratory tract disorders (excl obstruction and infection)
tonsillitis	Respiratory tract infections
tonsillitis	Infections - pathogen unspecified
bundle branch block	Cardiac arrhythmias
leukopenia	White blood cell disorders
ventricular fibrillation	Cardiac arrhythmias
breast pain	Breast disorders
skin cancer	Skin neoplasms malignant and unspecified
hypomagnesaemia	Bone, calcium, magnesium and phosphorus metabolism disorders
rhinitis allergic	Upper respiratory tract disorders (excl infections)
rhinitis allergic	Allergic conditions
movement disorder	Movement disorders (incl parkinsonism)
ascites	Hepatic and hepatobiliary disorders
ascites	Peritoneal and retroperitoneal conditions
ascites	Heart failures
tenosynovitis	Tendon, ligament and cartilage disorders
tongue disorder	Tongue conditions
abdominal pain lower	Gastrointestinal signs and symptoms
rheumatoid arthritis	Joint disorders
rheumatoid arthritis	Autoimmune disorders
anorectal disorder	Anal and rectal conditions NEC
arthritis	Joint disorders
